Dataset,Model,Precision,Recall,F1-score,ROC-AUC,PR-AUC,TN,FP,FN,TP,Train Time (s),Test Time (s)
Credit Card,Elliptic Envelope,0.7978723404255319,0.7928118393234672,0.7953340402969247,0.9580055518147296,0.7849346203110511,56556,95,98,375,92.07,0.05
Credit Card,Autoencoder,0.7943722943722944,0.7758985200845666,0.7850267379679144,0.9424126946476148,0.7520943913345027,56556,95,106,367,232.41,3.97
Credit Card,Tuned Isolation Forest,0.7319277108433735,0.5137420718816068,0.6037267080745342,0.957332762898296,0.6094662911986788,56562,89,230,243,30.12,2.52
Credit Card,One-Class SVM,0.3831683168316832,0.8181818181818182,0.5219150370869858,0.9441949807065799,0.6239326876894146,56028,623,86,387,152.03,12.68
Credit Card,K-Means,0.5641025641025641,0.27906976744186046,0.3734087694483734,0.9504329819129573,0.4141228618402741,56549,102,341,132,14.56,0.04
Credit Card,Isolation Forest,0.5943396226415094,0.266384778012685,0.3678832116788321,0.9502156727349902,0.38385641743451576,56565,86,347,126,1.82,0.36
Credit Card,Local Outlier Factor,0.2746478873239437,0.0824524312896406,0.12682926829268293,0.872363530825193,0.10668218999654237,56548,103,434,39,415.67,104.45
PaySim,One-Class SVM,0.7484653161448741,0.5938146840375015,0.6622309729105845,0.9027598639030698,0.7100486719983197,96719,1639,3336,4877,2642.18,45.76
PaySim,K-Means,0.7377384196185286,0.5274564714477049,0.615122470713525,0.906477963682973,0.6645725324553178,96818,1540,3881,4332,11.44,0.02
PaySim,Tuned Isolation Forest,0.7262237762237762,0.5057835139413126,0.5962822077083184,0.8941780166954073,0.6460252025420861,96792,1566,4059,4154,51.76,3.34
PaySim,Local Outlier Factor,0.717115551694179,0.5024960428588823,0.590922107674685,0.8705086051873505,0.6359517537997825,96730,1628,4086,4127,141.02,37.64
PaySim,Autoencoder,0.7065934065934066,0.46974309022281746,0.5643238499232063,0.9274964105795538,0.6588975233082062,96756,1602,4355,3858,216.98,7.15
PaySim,Elliptic Envelope,0.701579541180895,0.4542798003165713,0.5514743921365752,0.8849952652605707,0.5799750423333826,96771,1587,4482,3731,40.23,0.03
PaySim,Isolation Forest,0.372138910812944,0.11481797150858396,0.17549083465153065,0.8357901444011906,0.2912539271059889,96767,1591,7270,943,2.51,0.54
