Dataset,Rank,Model,F1-score,ROC-AUC,PR-AUC
Credit Card,1,Elliptic Envelope,0.7953340402969247,0.9580055518147296,0.7849346203110511
Credit Card,2,Autoencoder,0.7850267379679144,0.9424126946476148,0.7520943913345027
Credit Card,3,Tuned Isolation Forest,0.6037267080745342,0.957332762898296,0.6094662911986788
Credit Card,4,One-Class SVM,0.5219150370869858,0.9441949807065799,0.6239326876894146
Credit Card,5,K-Means,0.3734087694483734,0.9504329819129573,0.4141228618402741
Credit Card,6,Isolation Forest,0.3678832116788321,0.9502156727349902,0.38385641743451576
Credit Card,7,Local Outlier Factor,0.12682926829268293,0.872363530825193,0.10668218999654237
PaySim,1,One-Class SVM,0.6622309729105845,0.9027598639030698,0.7100486719983197
PaySim,2,K-Means,0.615122470713525,0.906477963682973,0.6645725324553178
PaySim,3,Tuned Isolation Forest,0.5962822077083184,0.8941780166954073,0.6460252025420861
PaySim,4,Local Outlier Factor,0.590922107674685,0.8705086051873505,0.6359517537997825
PaySim,5,Autoencoder,0.5643238499232063,0.9274964105795538,0.6588975233082062
PaySim,6,Elliptic Envelope,0.5514743921365752,0.8849952652605707,0.5799750423333826
PaySim,7,Isolation Forest,0.17549083465153065,0.8357901444011906,0.2912539271059889
